CODE	MUNICIPALITY	Mesoregion	Number of Mesoregion	Microregion	Number of Microregion	Planning Region	Number of Planning Region
310010	Abadia dos Dourados	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
310380	Arapuá	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
310400	Araxá	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
311150	Campos Altos	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
311430	Carmo do Paranaíba	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
311930	Coromandel	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312070	Cruzeiro da Fortaleza	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312350	Douradoquara	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312480	Estrela do Sul	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312790	Grupiara	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312890	Guimarânia	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
312950	Ibiá	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
313160	Iraí de Minas	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
313750	Lagoa Formosa	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
314120	Matutina	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
314310	Monte Carmelo	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
314500	Nova Ponte	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
314800	Patos de Minas	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
314810	Patrocínio	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
314920	Pedrinópolis	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
314980	Perdizes	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
315300	Pratinha	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
315550	Rio Paranaíba	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
315640	Romaria	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
315690	Sacramento	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
315770	Santa Juliana	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
315970	Santa Rosa da Serra	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
316210	São Gotardo	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
316680	Serra do Salitre	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
316810	Tapira	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
316890	Tiros	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
310020	Abaeté	Central Mineira	6	Três Marias	24	Central	2
310163	Alfredo Vasconcelos	Campo das Vertentes	11	Barbacena	59	Central	2
310230	Alvinópolis	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
310240	Alvorada de Minas	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
310290	Antônio Carlos	Campo das Vertentes	11	Barbacena	59	Central	2
310320	Araçaí	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
310480	Augusto de Lima	Central Mineira	6	Curvelo	25	Central	2
310500	Baldim	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
310540	Barão de Cocais	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
310560	Barbacena	Campo das Vertentes	11	Barbacena	59	Central	2
310590	Barroso	Campo das Vertentes	11	Barbacena	59	Central	2
310600	Bela Vista de Minas	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
310620	Belo Horizonte	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
310640	Belo Vale	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
310670	Betim	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
310700	Biquinhas	Central Mineira	6	Três Marias	24	Central	2
310770	Bom Jesus do Amparo	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
310810	Bonfim	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
310900	Brumadinho	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
310920	Buenópolis	Central Mineira	6	Curvelo	25	Central	2
310960	Cachoeira da Prata	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
310990	Caetanópolis	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
311000	Caeté	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
311220	Capela Nova	Campo das Vertentes	11	Barbacena	59	Central	2
311250	Capim Branco	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
311310	Caranaíba	Campo das Vertentes	11	Barbacena	59	Central	2
311320	Carandaí	Campo das Vertentes	11	Barbacena	59	Central	2
311490	Casa Grande	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
311535	Catas Altas	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
311540	Catas Altas da Noruega	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
311560	Cedro do Abaeté	Central Mineira	6	Três Marias	24	Central	2
311520	Conceição da Barra de Minas	Campo das Vertentes	11	São João del Rei	58	Central	2
311750	Conceição do Mato Dentro	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
311787	Confins	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
311800	Congonhas	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
311810	Congonhas do Norte	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
311830	Conselheiro Lafaiete	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
311860	Contagem	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
311890	Cordisburgo	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
311910	Corinto	Central Mineira	6	Curvelo	25	Central	2
311970	Coronel Xavier Chaves	Campo das Vertentes	11	São João del Rei	58	Central	2
312010	Couto de Magalhães de Minas	Jequitinhonha	3	Diamantina	10	Central	2
312040	Cristiano Otoni	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
312060	Crucilândia	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
312090	Curvelo	Central Mineira	6	Curvelo	25	Central	2
312100	Datas	Jequitinhonha	3	Diamantina	10	Central	2
312140	Desterro de Entre Rios	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
312150	Desterro do Melo	Campo das Vertentes	11	Barbacena	59	Central	2
312160	Diamantina	Jequitinhonha	3	Diamantina	10	Central	2
312170	Diogo de Vasconcelos	Metropolitana de Belo Horizonte	7	Ouro Preto	33	Central	2
312180	Dionísio	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
312260	Dom Joaquim	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
312300	Dores de Campos	Campo das Vertentes	11	São João del Rei	58	Central	2
312390	Entre Rios de Minas	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
312410	Esmeraldas	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
312540	Felício dos Santos	Jequitinhonha	3	Diamantina	10	Central	2
312570	Felixlândia	Central Mineira	6	Curvelo	25	Central	2
312590	Ferros	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
312600	Florestal	Metropolitana de Belo Horizonte	7	Pará de Minas	29	Central	2
312640	Fortuna de Minas	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
312720	Funilândia	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
312760	Gouveia	Jequitinhonha	3	Diamantina	10	Central	2
312940	Ibertioga	Campo das Vertentes	11	Barbacena	59	Central	2
312980	Ibirité	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
313010	Igarapé	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
313100	Inhaúma	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
313110	Inimutaba	Central Mineira	6	Curvelo	25	Central	2
313170	Itabira	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
313190	Itabirito	Metropolitana de Belo Horizonte	7	Ouro Preto	33	Central	2
313220	Itaguara	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
313280	Itambé do Mato Dentro	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
313370	Itatiaiuçu	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
313390	Itaverava	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
313460	Jaboticatubas	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
313540	Jeceaba	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
313570	Jequitibá	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
313620	João Monlevade	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
313640	Joaquim Felício	Central Mineira	6	Curvelo	25	Central	2
313665	Juatuba	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
313740	Lagoa Dourada	Campo das Vertentes	11	São João del Rei	58	Central	2
313760	Lagoa Santa	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
313910	Madre de Deus de Minas	Campo das Vertentes	11	São João del Rei	58	Central	2
313970	Maravilhas	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
314000	Mariana	Metropolitana de Belo Horizonte	7	Ouro Preto	33	Central	2
314015	Mário Campos	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
314070	Mateus Leme	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
314110	Matozinhos	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
314230	Moeda	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
314250	Monjolos	Central Mineira	6	Curvelo	25	Central	2
314350	Morada Nova de Minas	Central Mineira	6	Três Marias	24	Central	2
314360	Morro da Garça	Central Mineira	6	Curvelo	25	Central	2
314370	Morro do Pilar	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
314450	Nazareno	Campo das Vertentes	11	São João del Rei	58	Central	2
314470	Nova Era	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
314480	Nova Lima	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
313660	Nova União	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
314580	Onça de Pitangui	Metropolitana de Belo Horizonte	7	Pará de Minas	29	Central	2
314590	Ouro Branco	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
314610	Ouro Preto	Metropolitana de Belo Horizonte	7	Ouro Preto	33	Central	2
314640	Paineiras	Central Mineira	6	Três Marias	24	Central	2
314690	Papagaios	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
314710	Pará de Minas	Metropolitana de Belo Horizonte	7	Pará de Minas	29	Central	2
314740	Paraopeba	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
314750	Passabém	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
314930	Pedro Leopoldo	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
314960	Pequi	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
315030	Piedade do Rio Grande	Campo das Vertentes	11	São João del Rei	58	Central	2
315040	Piedade dos Gerais	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
315140	Pitangui	Metropolitana de Belo Horizonte	7	Pará de Minas	29	Central	2
315200	Pompéu	Central Mineira	6	Três Marias	24	Central	2
315270	Prados	Campo das Vertentes	11	São João del Rei	58	Central	2
315320	Presidente Juscelino	Central Mineira	6	Curvelo	25	Central	2
315330	Presidente Kubitschek	Jequitinhonha	3	Diamantina	10	Central	2
315360	Prudente de Morais	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
315380	Queluzito	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
315390	Raposos	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
315420	Resende Costa	Campo das Vertentes	11	São João del Rei	58	Central	2
315440	Ressaquinha	Campo das Vertentes	11	Barbacena	59	Central	2
315460	Ribeirão das Neves	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
315480	Rio Acima	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
315530	Rio Manso	Metropolitana de Belo Horizonte	7	Itaguara	32	Central	2
315570	Rio Piracicaba	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
315600	Rio Vermelho	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
315610	Ritápolis	Campo das Vertentes	11	São João del Rei	58	Central	2
315670	Sabará	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
315720	Santa Bárbara	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
315730	Santa Bárbara do Tugúrio	Campo das Vertentes	11	Barbacena	59	Central	2
315733	Santa Cruz de Minas	Campo das Vertentes	11	São João del Rei	58	Central	2
315780	Santa Luzia	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
315800	Santa Maria de Itabira	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
315850	Santana de Pirapama	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
315870	Santana do Garambéu	Campo das Vertentes	11	São João del Rei	58	Central	2
315900	Santana do Riacho	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
315910	Santana dos Montes	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
316020	Santo Antônio do Itambé	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
316050	Santo Antônio do Rio Abaixo	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
316060	Santo Hipólito	Central Mineira	6	Curvelo	25	Central	2
316090	São Brás do Suaçuí	Metropolitana de Belo Horizonte	7	Conselheiro Lafaiete	34	Central	2
316100	São Domingos do Prata	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
316190	São Gonçalo do Rio Abaixo	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
312550	São Gonçalo do Rio Preto	Jequitinhonha	3	Diamantina	10	Central	2
316250	São João del Rei	Campo das Vertentes	11	São João del Rei	58	Central	2
316292	São Joaquim de Bicas	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
316295	São José da Lapa	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
316310	São José da Varginha	Metropolitana de Belo Horizonte	7	Pará de Minas	29	Central	2
316340	São José do Goiabal	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
316480	São Sebastião do Rio Preto	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
316500	São Tiago	Campo das Vertentes	11	São João del Rei	58	Central	2
316553	Sarzedo	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
316590	Senador Modestino Gonçalves	Jequitinhonha	3	Diamantina	10	Central	2
316620	Senhora dos Remédios	Campo das Vertentes	11	Barbacena	59	Central	2
316650	Serra Azul de Minas	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
316710	Serro	Metropolitana de Belo Horizonte	7	Conceição do Mato dentro	28	Central	2
316720	Sete Lagoas	Metropolitana de Belo Horizonte	7	Sete Lagoas	27	Central	2
316830	Taquaraçu de Minas	Metropolitana de Belo Horizonte	7	Itabira	31	Central	2
316880	Tiradentes	Campo das Vertentes	11	São João del Rei	58	Central	2
316935	Três Marias	Central Mineira	6	Três Marias	24	Central	2
317120	Vespasiano	Metropolitana de Belo Horizonte	7	Belo Horizonte	30	Central	2
310080	Aguanil	Oeste de Minas	9	Campo Belo	45	Centro Oeste de Minas	3
310390	Araújos	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
310420	Arcos	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
310510	Bambuí	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
310740	Bom Despacho	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
310800	Bom Sucesso	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
311040	Camacho	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
311120	Campo Belo	Oeste de Minas	9	Campo Belo	45	Centro Oeste de Minas	3
311190	Cana Verde	Oeste de Minas	9	Campo Belo	45	Centro Oeste de Minas	3
311200	Candeias	Oeste de Minas	9	Campo Belo	45	Centro Oeste de Minas	3
311400	Carmo da Mata	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
311420	Carmo do Cajuru	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
311450	Carmópolis de Minas	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
311660	Cláudio	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
311760	Conceição do Pará	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
311980	Córrego Danta	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
311995	Córrego Fundo	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
312020	Cristais	Oeste de Minas	9	Campo Belo	45	Centro Oeste de Minas	3
312230	Divinópolis	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
312320	Dores do Indaiá	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
312340	Doresópolis	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
312470	Estrela do Indaiá	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
312610	Formiga	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
313000	Ibituruna	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
313020	Igaratinga	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
313030	Iguatama	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
313350	Itapecerica	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
313380	Itaúna	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
313530	Japaraíba	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
313720	Lagoa da Prata	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
313830	Leandro Ferreira	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
313880	Luz	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
314050	Martinho Campos	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
314130	Medeiros	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
314240	Moema	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
314520	Nova Serrana	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
314560	Oliveira	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
314650	Pains	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
314770	Passa Tempo	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
314890	Pedra do Indaiá	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
314970	Perdigão	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
314990	Perdões	Oeste de Minas	9	Campo Belo	45	Centro Oeste de Minas	3
315050	Pimenta	Oeste de Minas	9	Formiga	44	Centro Oeste de Minas	3
315060	Piracema	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
315150	Piumhi	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
315370	Quartel Geral	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
315880	Santana do Jacaré	Oeste de Minas	9	Campo Belo	45	Centro Oeste de Minas	3
315990	Santo Antônio do Amparo	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
316040	Santo Antônio do Monte	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
316120	São Francisco de Paula	Oeste de Minas	9	Oliveira	46	Centro Oeste de Minas	3
316180	São Gonçalo do Pará	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
316430	São Roque de Minas	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
316460	São Sebastião do Oeste	Oeste de Minas	9	Divinópolis	43	Centro Oeste de Minas	3
316660	Serra da Saudade	Central Mineira	6	Bom despacho	26	Centro Oeste de Minas	3
316820	Tapiraí	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
317060	Vargem Bonita	Oeste de Minas	9	Piuí	42	Centro Oeste de Minas	3
310090	Águas Formosas	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
310170	Almenara	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
310285	Angelândia	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
310340	Araçuaí	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
310445	Aricanduva	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
310470	Ataléia	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
310520	Bandeira	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
310650	Berilo	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
310660	Bertópolis	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
310270	Cachoeira de Pajeú	Jequitinhonha	3	Pedra Azul	13	Jequitinhonha/Mucuri	4
311230	Capelinha	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
311300	Caraí	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
311350	Carbonita	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
311370	Carlos Chagas	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
311545	Catuji	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
311610	Chapada do Norte	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
311700	Comercinho	Jequitinhonha	3	Pedra Azul	13	Jequitinhonha/Mucuri	4
311950	Coronel Murta	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
312015	Crisólita	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
312245	Divisópolis	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
312560	Felisburgo	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
312650	Francisco Badaró	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
312675	Franciscópolis	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
312680	Frei Gaspar	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
312705	Fronteira dos Vales	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
313230	Itaipé	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
313250	Itamarandiba	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
313330	Itaobim	Jequitinhonha	3	Pedra Azul	13	Jequitinhonha/Mucuri	4
313400	Itinga	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
313470	Jacinto	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
313545	Jenipapo de Minas	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
313580	Jequitinhonha	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
313600	Joaíma	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
313650	Jordânia	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
313652	José Gonçalves de Minas	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
313700	Ladainha	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
313835	Leme do Prado	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
313890	Machacalis	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
313920	Malacacheta	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
314055	Mata Verde	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
314140	Medina	Jequitinhonha	3	Pedra Azul	13	Jequitinhonha/Mucuri	4
314180	Minas Novas	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
314315	Monte Formoso	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
314430	Nanuque	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
314530	Novo Cruzeiro	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
314535	Novo Oriente de Minas	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
314620	Ouro Verde de Minas	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
314630	Padre Paraíso	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
314675	Palmópolis	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
314850	Pavão	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
314870	Pedra Azul	Jequitinhonha	3	Pedra Azul	13	Jequitinhonha/Mucuri	4
315217	Ponto dos Volantes	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
315240	Poté	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
315510	Rio do Prado	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
315660	Rubim	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
315710	Salto da Divisa	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
315765	Santa Helena de Minas	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
315810	Santa Maria do Salto	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
316030	Santo Antônio do Jacinto	Jequitinhonha	3	Almenara	14	Jequitinhonha/Mucuri	4
316670	Serra dos Aimorés	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
316555	Setubinha	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
316860	Teófilo Otoni	Vale do Mucuri	4	Teófilo Otoni	15	Jequitinhonha/Mucuri	4
316970	Turmalina	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
317030	Umburatiba	Vale do Mucuri	4	Nanuque	16	Jequitinhonha/Mucuri	4
317107	Veredinha	Jequitinhonha	3	Capelinha	11	Jequitinhonha/Mucuri	4
317160	Virgem da Lapa	Jequitinhonha	3	Araçuaí	12	Jequitinhonha/Mucuri	4
310030	Abre Campo	Zona da Mata	12	Manhuaçu	61	Mata	5
