"year","hs4","pci"
2000,4807,0.923189
2000,4805,0.761386
2000,4804,0.565108
2000,4803,0.459642
2000,4802,1.029977
2000,4801,0.464327
2000,4707,0.628052
2000,4705,0.049909
2000,4704,0.760185
2000,4703,0.152372
2000,4702,0.471534
2000,4701,0.897904
2000,4601,-1.892991
2000,4503,-0.780057
2000,4502,-1.070996
2000,4418,-0.315476
2000,4417,-0.918208
2000,4416,0.34811
2000,4415,0.393996
2000,4414,-1.44548
2000,4412,-0.862303
2000,4411,-0.025167
2000,4410,0.138798
2000,4408,-0.762987
2000,4407,-0.57878
2000,4406,-0.840573
2000,4405,-0.167036
2000,4402,-1.137861
2000,4304,-0.714897
2000,4302,0.01141
2000,4301,0.18949
2000,4206,-1.499654
2000,4205,-0.445177
2000,4204,0.26931
2000,4203,-1.040125
2000,4201,-0.340119
2000,4111,0.336578
2000,4110,-1.023008
2000,4108,-0.550193
2000,4106,-1.538273
2000,4105,-1.682719
2000,4104,-0.961956
2000,4103,-1.865603
2000,4102,-1.255508
2000,4101,-0.912796
2000,4016,0.776582
2000,4015,-1.332265
2000,4014,-0.00775
2000,4012,-0.072351
2000,4011,0.221382
2000,4010,1.106675
2000,4005,0.837183
2000,4003,-0.23258
2000,4002,1.159168
2000,4001,-2.649874
2000,3923,0.371953
2000,3922,0.591295
2000,3919,1.343914
2000,3918,1.183372
2000,3915,-0.004746
2000,3914,1.146014
2000,3913,0.618262
2000,3912,1.729683
2000,3910,2.169266
2000,3909,0.916643
2000,3908,1.48914
2000,3907,1.400791
2000,3906,1.347998
2000,3905,0.740545
2000,3904,0.39778
2000,3903,0.8546
2000,3902,0.272373
2000,3819,1.747461
2000,3816,0.577241
2000,3811,1.536708
2000,3808,0.275076
2000,3803,0.020839
2000,3707,1.758632
2000,3706,0.096936
2000,3705,1.074182
2000,3605,-0.46648
2000,3604,-0.583298
2000,3603,-0.05381
2000,3601,0.316818
2000,3505,0.551054
2000,3405,0.423065
2000,3404,1.204453
2000,3403,-1.020695
2000,3402,0.690155
2000,3401,-0.482354
2000,3303,0.660244
2000,3302,0.610995
2000,3301,-0.961295
2000,3215,2.017193
2000,3213,1.265655
2000,3212,1.114903
2000,3206,1.018145
2000,3205,0.622707
2000,3204,0.622466
2000,3202,0.129909
2000,3201,-0.754573
2000,3105,-0.159619
2000,3104,0.560003
2000,3103,-0.641712
2000,3102,-0.636904
2000,3101,-0.068435
2000,3005,1.186795
2000,3003,0.809735
2000,3002,0.995443
2000,2941,0.64607
2000,2940,1.194183
2000,2939,0.619764
2000,2937,1.737971
2000,2936,1.288778
2000,2935,1.267637
2000,2933,1.138086
2000,2931,1.485777
2000,2930,1.43953
2000,2926,0.543246
2000,2924,1.297427
2000,2922,0.669914
2000,2921,0.907634
2000,2920,1.112981
2000,2918,0.627091
2000,2917,0.264565
2000,2916,0.940727
2000,2914,1.186015
2000,2909,0.136816
2000,2908,1.504035
2000,2906,0.578862
2000,2904,0.720545
2000,2903,0.513036
2000,2902,0.036515
2000,2901,-0.547808
2000,2847,0.518201
2000,2845,0.024203
2000,2844,0.168468
2000,2841,0.520003
2000,2840,0.033752
2000,2830,-0.133156
2000,2819,0.153693
2000,2818,-0.756098
2000,2812,0.97358
2000,2810,-0.237013
2000,2805,-0.450282
2000,2716,-0.158622
2000,2715,-0.617169
2000,2712,-0.004326
2000,2711,-1.404038
2000,2709,-2.045064
2000,2708,0.357119
2000,2706,-0.323626
2000,2705,1.814489
2000,2704,-0.007689
2000,2703,0.311472
2000,2702,0.221802
2000,2701,-0.764825
2000,2621,0.092792
2000,2620,-0.637428
2000,2616,-0.659066
2000,2612,0.252373
2000,2609,-1.752449
2000,2608,-0.607272
2000,2607,-0.607042
2000,2606,-1.184372
2000,2605,-2.021521
2000,2604,-1.086972
2000,2603,-1.662599
2000,2602,-1.236469
2000,2601,-0.884147
2000,2524,-0.79924
2000,2523,-0.792933
2000,2522,0.614658
2000,2520,-0.593424
2000,2517,-0.114111
2000,2516,-1.226859
2000,2513,0.555799
2000,2510,-1.344097
2000,2509,-0.542847
2000,2506,-1.008869
2000,2505,-0.508781
2000,2504,-0.271361
2000,2503,-0.707629
2000,2502,0.242823
2000,2501,-0.384161
2000,2403,0.10072
2000,2402,-1.503738
2000,2401,-2.017376
2000,2306,-1.491546
2000,2302,-1.350824
2000,2301,-1.20836
2000,2208,-0.126723
2000,2206,0.684268
2000,2205,-0.315518
2000,2203,0.21994
2000,2202,0.16985
2000,2101,-0.824435
2000,2009,-0.824495
2000,2008,-1.149447
2000,2007,-0.387266
2000,2006,-0.554727
2000,2005,-0.394588
2000,2004,-0.870081
2000,2001,-1.242235
2000,1905,0.349311
2000,1902,-0.716296
2000,1901,0.263124
2000,1806,0.826432
2000,1805,-0.721041
2000,1803,-1.864342
2000,1802,0.115074
2000,1801,-3.08177
2000,1704,-0.028584
2000,1703,-1.550105
2000,1702,0.145765
2000,1701,-2.348791
2000,1605,-1.096954
2000,1604,-1.450825
2000,1603,-0.407374
2000,1602,0.162883
2000,1601,0.916463
2000,1522,-0.299494
