"year","country","eci"
2007,"LKA",-0.3497694
2007,"LTU",0.7609776
2007,"LVA",0.6397979
2007,"MAR",-0.3058295
2007,"MDA",0.3134488
2007,"MDG",-0.6697185
2007,"MEX",1.062997
2007,"MKD",0.0007519
2007,"MLI",-1.431996
2007,"MNG",-1.036997
2007,"MOZ",-1.246597
2007,"MRT",-1.831695
2007,"MUS",-0.3610394
2007,"MWI",-1.092097
2007,"MYS",0.6568679
2007,"NAM",-0.5459388
2007,"NGA",-1.749596
2007,"NIC",-0.7352883
2007,"NLD",1.032997
2007,"NOR",0.7607276
2007,"NZL",0.3634387
2007,"OMN",-0.4365592
2007,"PAK",-0.6510985
2007,"PAN",0.5650181
2007,"PER",-0.5650588
2007,"PHL",0.0004219
2007,"PNG",-1.770895
2007,"POL",1.093797
2007,"PRT",0.7098877
2007,"PRY",-0.5381989
2007,"QAT",-0.2068598
2007,"ROU",0.9045272
2007,"RUS",0.4824983
2007,"SAU",-0.3681594
2007,"SDN",-2.169694
2007,"SEN",-0.3733493
2007,"SGP",1.360196
2007,"SLV",-0.1036301
2007,"SRB",0.6807578
2007,"SVK",1.302196
2007,"SVN",1.532095
2007,"SWE",1.944394
2007,"SYR",-0.3445794
2007,"THA",0.7087377
2007,"TJK",-1.033098
2007,"TKM",-1.242397
2007,"TTO",-0.0898931
2007,"TUN",0.2836289
2007,"TUR",0.3669586
2007,"TZA",-0.8870379
2007,"UGA",-0.6789385
2007,"UKR",0.616758
2007,"URY",0.0165806
2007,"USA",1.427796
2007,"UZB",-0.4514591
2007,"VEN",-0.7390183
2007,"VNM",-0.3127295
2007,"YEM",-1.165497
2007,"ZAF",0.1354993
2007,"ZMB",-0.5796288
2007,"ZWE",-0.4377292
2006,"AGO",-1.790062
2006,"ALB",-0.4991402
2006,"ARE",-0.3815464
2006,"ARG",-0.0939059
2006,"AUS",-0.3708944
2006,"AUT",1.876098
2006,"AZE",-0.7993643
2006,"BEL",1.161981
2006,"BGD",-0.8944895
2006,"BGR",0.4264906
2006,"BIH",0.5050906
2006,"BLR",1.016006
2006,"BOL",-0.9626383
2006,"BRA",0.4355564
2006,"BWA",-1.069721
2006,"CAN",0.7457899
2006,"CHE",2.097672
2006,"CHL",-0.1863164
2006,"CHN",0.8157358
2006,"CIV",-0.9221285
2006,"CMR",-1.464779
2006,"COG",-1.644287
2006,"COL",0.0426336
2006,"CRI",0.1839841
2006,"CUB",0.3600385
2006,"CZE",1.651914
2006,"DEU",2.150982
2006,"DNK",1.20214
2006,"DOM",-0.3957524
2006,"DZA",-1.248425
2006,"ECU",-0.7339463
2006,"EGY",-0.3488876
2006,"ESP",0.9158507
2006,"EST",0.767365
2006,"ETH",-1.231258
2006,"FIN",1.870376
2006,"FRA",1.413875
2006,"GAB",-1.189995
2006,"GBR",1.867464
2006,"GEO",0.0438916
2006,"GHA",-0.9873859
2006,"GIN",-1.502226
2006,"GRC",0.1198512
2006,"GTM",0.004446
2006,"HKG",0.9058512
2006,"HND",-0.2325889
2006,"HRV",0.9523446
2006,"HUN",1.465579
2006,"IDN",-0.0387985
2006,"IND",0.1716957
2006,"IRL",1.437066
2006,"IRN",-0.6294642
2006,"ISR",1.08307
2006,"ITA",1.376628
2006,"JAM",-0.3262985
2006,"JOR",0.0851423
2006,"JPN",2.517929
2006,"KAZ",-0.4515123
2006,"KEN",-0.3272823
2006,"KGZ",-0.3507951
2006,"KHM",-1.115602
2006,"KOR",1.638662
2006,"KWT",-0.4222569
2006,"LAO",-0.9439746
2006,"LBN",0.2401657
2006,"LBR",-1.087491
2006,"LBY",-0.9245079
2006,"LKA",-0.4102094
2006,"LTU",0.6388883
2006,"LVA",0.5521763
2006,"MAR",-0.4275579
2006,"MDA",-0.0616527
2006,"MDG",-0.7492567
2006,"MEX",1.145215
2006,"MKD",-0.2017874
2006,"MLI",-1.237683
2006,"MNG",-1.123332
2006,"MOZ",-1.103152
2006,"MRT",-1.721491
2006,"MUS",-0.2781084
2006,"MWI",-0.900955
2006,"MYS",0.8871174
2006,"NAM",-0.490476
2006,"NGA",-1.543288
2006,"NIC",-0.9546768
2006,"NLD",1.045823
2006,"NOR",0.8017607
2006,"NZL",0.1955397
2006,"OMN",-0.5000237
2006,"PAK",-0.6763893
2006,"PAN",0.6633849
2006,"PER",-0.6290927
2006,"PHL",0.1553713
2006,"PNG",-1.689063
2006,"POL",1.061485
2006,"PRT",0.630455
2006,"PRY",-0.7224409
2006,"QAT",0.0549884
2006,"ROU",0.7011138
2006,"RUS",0.6401533
2006,"SAU",0.0784348
2006,"SDN",-1.922283
2006,"SEN",-0.4803461
2006,"SGP",1.605129
2006,"SLV",-0.1334177
2006,"SVK",1.352131
2006,"SVN",1.583444
2006,"SWE",1.964748
2006,"SYR",-0.4998128
2006,"THA",0.6931323
2006,"TJK",-1.138391
2006,"TKM",-1.309165
2006,"TTO",-0.2342856
2006,"TUN",0.1208451
2006,"TUR",0.2075973
2006,"TZA",-1.100542
2006,"UGA",-0.8754745
2006,"UKR",0.5560516
2006,"URY",-0.0823001
2006,"USA",1.522805
2006,"UZB",-0.68671
2006,"VEN",-0.4387319
2006,"VNM",-0.255178
2006,"YEM",-1.002325
2006,"ZAF",0.1046211
2006,"ZMB",-1.055866
2006,"ZWE",-0.3085886
2005,"AGO",-1.928313
2005,"ALB",-0.3183078
2005,"ARE",-0.2566945
2005,"ARG",0.0431832
2005,"AUS",-0.2546866
2005,"AUT",1.916664
2005,"AZE",-0.9711246
2005,"BEL",1.171121
2005,"BGD",-1.019124
2005,"BGR",0.31953
2005,"BIH",0.4939083
2005,"BLR",1.056469
2005,"BOL",-0.9878306
2005,"BRA",0.4688594
2005,"BWA",-0.8716821
2005,"CAN",0.8681958
2005,"CHE",2.1282
2005,"CHL",-0.2192266
2005,"CHN",0.6759469
2005,"CIV",-0.8640921
2005,"CMR",-1.282263
2005,"COG",-1.492794
2005,"COL",0.0016483
2005,"CRI",0.2127485
2005,"CUB",-0.0332375
2005,"CZE",1.638366
2005,"DEU",2.132015
2005,"DNK",1.278044
2005,"DOM",-0.3484066
2005,"DZA",-1.408662
2005,"ECU",-0.8341138
2005,"EGY",-0.3076256
2005,"ESP",0.929307
2005,"EST",0.8344827
2005,"ETH",-1.183774
2005,"FIN",1.919576
2005,"FRA",1.478535
2005,"GAB",-0.971737
2005,"GBR",1.708442
2005,"GEO",-0.0846956
2005,"GHA",-0.8916007
2005,"GIN",-1.416593
2005,"GRC",0.1575707
2005,"GTM",-0.2104922
2005,"HKG",0.8498634
2005,"HND",-0.2316155
2005,"HRV",0.8355469
2005,"HUN",1.312781
2005,"IDN",-0.0678491
2005,"IND",0.1282851
2005,"IRL",1.444902
2005,"IRN",-0.7384562
2005,"ISR",1.021933
2005,"ITA",1.412976
2005,"JAM",-0.362442
2005,"JOR",0.1471797
2005,"JPN",2.582292
2005,"KAZ",-0.3798306
2005,"KEN",-0.4157624
2005,"KGZ",-0.6131616
2005,"KHM",-1.317602
2005,"KOR",1.664168
2005,"KWT",-0.285177
2005,"LAO",-0.9688155
2005,"LBN",0.2867004
2005,"LBR",-0.4824055
2005,"LBY",-0.9447003
2005,"LKA",-0.4967019
2005,"LTU",0.6829847
2005,"LVA",0.6768003
2005,"MAR",-0.4326089
